テキスト,カテゴリ
2023-03-05 2mgピーゼットシー糖衣錠,2mgピーゼットシー糖衣錠
2023-07-07 2mgピーゼットシー糖衣錠,2mgピーゼットシー糖衣錠
2024-10-31 2mgピーゼットシー糖衣錠,2mgピーゼットシー糖衣錠
2024-12-02 2mgピーゼットシー糖衣錠,2mgピーゼットシー糖衣錠
2024-05-11 2mgピーゼットシー糖衣錠,2mgピーゼットシー糖衣錠
アスコマーナ錠0.25 0.25mg,アスコマーナ錠0.25 0.25mg
2023-08-02 アスコマーナ錠0.25 0.25mg,アスコマーナ錠0.25 0.25mg
2023-07-08 アスコマーナ錠0.25 0.25mg,アスコマーナ錠0.25 0.25mg
2024-12-12 アスコマーナ錠0.25 0.25mg,アスコマーナ錠0.25 0.25mg
2024-03-18 アスコマーナ錠0.25 0.25mg,アスコマーナ錠0.25 0.25mg
2023-02-05 アスコマーナ錠0.25 0.25mg,アスコマーナ錠0.25 0.25mg
アズトレム錠1mg,アズトレム錠1mg
2024-02-01 アズトレム錠1mg,アズトレム錠1mg
2023-12-23 アズトレム錠1mg,アズトレム錠1mg
2024-08-05 アズトレム錠1mg,アズトレム錠1mg
2024-03-27 アズトレム錠1mg,アズトレム錠1mg
2024-05-22 アズトレム錠1mg,アズトレム錠1mg
アズロゲン錠 1mg,アズロゲン錠 1mg
2024-07-28 アズロゲン錠 1mg,アズロゲン錠 1mg
2024-10-23 アズロゲン錠 1mg,アズロゲン錠 1mg
2024-08-13 アズロゲン錠 1mg,アズロゲン錠 1mg
2023-05-02 アズロゲン錠 1mg,アズロゲン錠 1mg
2024-06-13 アズロゲン錠 1mg,アズロゲン錠 1mg
アゾリタン錠0.4 0.4mg,アゾリタン錠0.4 0.4mg
2024-02-09 アゾリタン錠0.4 0.4mg,アゾリタン錠0.4 0.4mg
2024-01-28 アゾリタン錠0.4 0.4mg,アゾリタン錠0.4 0.4mg
2024-12-02 アゾリタン錠0.4 0.4mg,アゾリタン錠0.4 0.4mg
2023-10-21 アゾリタン錠0.4 0.4mg,アゾリタン錠0.4 0.4mg
2023-05-03 アゾリタン錠0.4 0.4mg,アゾリタン錠0.4 0.4mg
アトリプタール錠10mg,アトリプタール錠10mg
2024-12-11 アトリプタール錠10mg,アトリプタール錠10mg
2023-01-26 アトリプタール錠10mg,アトリプタール錠10mg
2024-04-06 アトリプタール錠10mg,アトリプタール錠10mg
2024-10-27 アトリプタール錠10mg,アトリプタール錠10mg
2023-07-14 アトリプタール錠10mg,アトリプタール錠10mg
アビリット錠100 100mg,アビリット錠100 100mg
2024-11-07 アビリット錠100 100mg,アビリット錠100 100mg
2023-07-25 アビリット錠100 100mg,アビリット錠100 100mg
2024-09-04 アビリット錠100 100mg,アビリット錠100 100mg
2023-07-08 アビリット錠100 100mg,アビリット錠100 100mg
2024-06-11 アビリット錠100 100mg,アビリット錠100 100mg
ブロチゾラム錠0.25mg「日新」,ブロチゾラム錠0.25mg「日新」
2023-03-15 ブロチゾラム錠0.25mg「日新」,ブロチゾラム錠0.25mg「日新」
2023-11-01 ブロチゾラム錠0.25mg「日新」,ブロチゾラム錠0.25mg「日新」
2023-06-24 ブロチゾラム錠0.25mg「日新」,ブロチゾラム錠0.25mg「日新」
2023-10-02 ブロチゾラム錠0.25mg「日新」,ブロチゾラム錠0.25mg「日新」
2023-10-20 ブロチゾラム錠0.25mg「日新」,ブロチゾラム錠0.25mg「日新」
アモキサンカプセル10mg,アモキサンカプセル10mg
2023-11-25 アモキサンカプセル10mg,アモキサンカプセル10mg
2024-09-30 アモキサンカプセル10mg,アモキサンカプセル10mg
2023-06-03 アモキサンカプセル10mg,アモキサンカプセル10mg
2024-09-27 アモキサンカプセル10mg,アモキサンカプセル10mg
2024-12-02 アモキサンカプセル10mg,アモキサンカプセル10mg
アモバルビタール,アモバルビタール
2023-01-19 アモバルビタール,アモバルビタール
2024-07-20 アモバルビタール,アモバルビタール
2023-12-25 アモバルビタール,アモバルビタール
2023-06-22 アモバルビタール,アモバルビタール
2024-01-15 アモバルビタール,アモバルビタール
アモバンテス錠7.5 7.5mg,アモバンテス錠7.5 7.5mg
2024-01-31 アモバンテス錠7.5 7.5mg,アモバンテス錠7.5 7.5mg
2024-05-05 アモバンテス錠7.5 7.5mg,アモバンテス錠7.5 7.5mg
2023-09-20 アモバンテス錠7.5 7.5mg,アモバンテス錠7.5 7.5mg
2023-03-17 アモバンテス錠7.5 7.5mg,アモバンテス錠7.5 7.5mg
2024-02-01 アモバンテス錠7.5 7.5mg,アモバンテス錠7.5 7.5mg
アモバン錠10 10mg,アモバン錠10 10mg
2024-03-16 アモバン錠10 10mg,アモバン錠10 10mg
2023-04-03 アモバン錠10 10mg,アモバン錠10 10mg
2024-04-27 アモバン錠10 10mg,アモバン錠10 10mg
2023-12-24 アモバン錠10 10mg,アモバン錠10 10mg
2024-10-22 アモバン錠10 10mg,アモバン錠10 10mg
エチゾラム錠0.5mg「日医工」,エチゾラム錠0.5mg「日医工」
2024-01-26 エチゾラム錠0.5mg「日医工」,エチゾラム錠0.5mg「日医工」
2023-06-29 エチゾラム錠0.5mg「日医工」,エチゾラム錠0.5mg「日医工」
2024-03-02 エチゾラム錠0.5mg「日医工」,エチゾラム錠0.5mg「日医工」
2024-06-11 エチゾラム錠0.5mg「日医工」,エチゾラム錠0.5mg「日医工」
2024-06-06 エチゾラム錠0.5mg「日医工」,エチゾラム錠0.5mg「日医工」
トラゾドン塩酸塩錠25mg/50mg,トラゾドン塩酸塩錠25mg/50mg
2025-01-15 トラゾドン塩酸塩錠25mg/50mg,トラゾドン塩酸塩錠25mg/50mg
2024-12-20 トラゾドン塩酸塩錠25mg/50mg,トラゾドン塩酸塩錠25mg/50mg
2023-12-17 トラゾドン塩酸塩錠25mg/50mg,トラゾドン塩酸塩錠25mg/50mg
2023-09-11 トラゾドン塩酸塩錠25mg/50mg,トラゾドン塩酸塩錠25mg/50mg
2023-10-19 トラゾドン塩酸塩錠25mg/50mg,トラゾドン塩酸塩錠25mg/50mg
アントマイリン錠7.5 7.5mg,アントマイリン錠7.5 7.5mg
2023-01-19 アントマイリン錠7.5 7.5mg,アントマイリン錠7.5 7.5mg
2024-08-20 アントマイリン錠7.5 7.5mg,アントマイリン錠7.5 7.5mg
2024-03-10 アントマイリン錠7.5 7.5mg,アントマイリン錠7.5 7.5mg
2023-03-29 アントマイリン錠7.5 7.5mg,アントマイリン錠7.5 7.5mg
2023-05-09 アントマイリン錠7.5 7.5mg,アントマイリン錠7.5 7.5mg
アンプリット錠10mg,アンプリット錠10mg
2023-02-18 アンプリット錠10mg,アンプリット錠10mg
2023-12-23 アンプリット錠10mg,アンプリット錠10mg
2023-11-11 アンプリット錠10mg,アンプリット錠10mg
2024-02-18 アンプリット錠10mg,アンプリット錠10mg
2024-02-03 アンプリット錠10mg,アンプリット錠10mg
クロチアゼパム錠5mg「サワイ」,クロチアゼパム錠5mg「サワイ」
2024-03-04 クロチアゼパム錠5mg「サワイ」,クロチアゼパム錠5mg「サワイ」
2024-09-15 クロチアゼパム錠5mg「サワイ」,クロチアゼパム錠5mg「サワイ」
2024-12-13 クロチアゼパム錠5mg「サワイ」,クロチアゼパム錠5mg「サワイ」
2024-04-12 クロチアゼパム錠5mg「サワイ」,クロチアゼパム錠5mg「サワイ」
2023-12-08 クロチアゼパム錠5mg「サワイ」,クロチアゼパム錠5mg「サワイ」
イソミタール,イソミタール
2023-05-23 イソミタール,イソミタール
2024-04-27 イソミタール,イソミタール
2023-06-19 イソミタール,イソミタール
2024-08-24 イソミタール,イソミタール
2023-09-05 イソミタール,イソミタール
イミドール糖衣錠(10) 10mg,イミドール糖衣錠(10) 10mg
2023-09-30 イミドール糖衣錠(10) 10mg,イミドール糖衣錠(10) 10mg
2023-05-09 イミドール糖衣錠(10) 10mg,イミドール糖衣錠(10) 10mg
2023-07-28 イミドール糖衣錠(10) 10mg,イミドール糖衣錠(10) 10mg
2024-06-17 イミドール糖衣錠(10) 10mg,イミドール糖衣錠(10) 10mg
2024-06-01 イミドール糖衣錠(10) 10mg,イミドール糖衣錠(10) 10mg
インプロメン細粒1%,インプロメン細粒1%
2025-01-10 インプロメン細粒1%,インプロメン細粒1%
2023-09-14 インプロメン細粒1%,インプロメン細粒1%
2023-07-12 インプロメン細粒1%,インプロメン細粒1%
2023-10-14 インプロメン細粒1%,インプロメン細粒1%
2023-11-13 インプロメン細粒1%,インプロメン細粒1%
エスタゾラム錠1mg「アメル」,エスタゾラム錠1mg「アメル」
2023-12-31 エスタゾラム錠1mg「アメル」,エスタゾラム錠1mg「アメル」
2023-11-30 エスタゾラム錠1mg「アメル」,エスタゾラム錠1mg「アメル」
2024-11-12 エスタゾラム錠1mg「アメル」,エスタゾラム錠1mg「アメル」
2024-12-22 エスタゾラム錠1mg「アメル」,エスタゾラム錠1mg「アメル」
2023-09-12 エスタゾラム錠1mg「アメル」,エスタゾラム錠1mg「アメル」
エチカーム錠0.5mg,エチカーム錠0.5mg
2024-04-05 エチカーム錠0.5mg,エチカーム錠0.5mg
2024-01-18 エチカーム錠0.5mg,エチカーム錠0.5mg
2024-10-23 エチカーム錠0.5mg,エチカーム錠0.5mg
2023-12-28 エチカーム錠0.5mg,エチカーム錠0.5mg
2024-06-03 エチカーム錠0.5mg,エチカーム錠0.5mg
エチセダン錠0.5mg,エチセダン錠0.5mg
2025-01-06 エチセダン錠0.5mg,エチセダン錠0.5mg
2024-09-30 エチセダン錠0.5mg,エチセダン錠0.5mg
2023-12-23 エチセダン錠0.5mg,エチセダン錠0.5mg
2024-04-20 エチセダン錠0.5mg,エチセダン錠0.5mg
2024-03-11 エチセダン錠0.5mg,エチセダン錠0.5mg
エチゾラム錠0.5mg「EMEC」,エチゾラム錠0.5mg「EMEC」
2023-05-09 エチゾラム錠0.5mg「EMEC」,エチゾラム錠0.5mg「EMEC」
2024-05-01 エチゾラム錠0.5mg「EMEC」,エチゾラム錠0.5mg「EMEC」
2024-07-15 エチゾラム錠0.5mg「EMEC」,エチゾラム錠0.5mg「EMEC」
2023-09-22 エチゾラム錠0.5mg「EMEC」,エチゾラム錠0.5mg「EMEC」
2024-05-20 エチゾラム錠0.5mg「EMEC」,エチゾラム錠0.5mg「EMEC」
エチドラール細粒 1%,エチドラール細粒 1%
2024-08-13 エチドラール細粒 1%,エチドラール細粒 1%
2023-11-05 エチドラール細粒 1%,エチドラール細粒 1%
2023-02-27 エチドラール細粒 1%,エチドラール細粒 1%
2023-09-30 エチドラール細粒 1%,エチドラール細粒 1%
2023-05-21 エチドラール細粒 1%,エチドラール細粒 1%
エバミール錠1.0 1mg,エバミール錠1.0 1mg
2024-12-22 エバミール錠1.0 1mg,エバミール錠1.0 1mg
2023-11-14 エバミール錠1.0 1mg,エバミール錠1.0 1mg
2023-03-22 エバミール錠1.0 1mg,エバミール錠1.0 1mg
2024-12-22 エバミール錠1.0 1mg,エバミール錠1.0 1mg
2023-02-18 エバミール錠1.0 1mg,エバミール錠1.0 1mg
エビリファイ散1%,エビリファイ散1%
2024-03-30 エビリファイ散1%,エビリファイ散1%
2024-02-10 エビリファイ散1%,エビリファイ散1%
2024-11-05 エビリファイ散1%,エビリファイ散1%
2024-07-23 エビリファイ散1%,エビリファイ散1%
2024-09-04 エビリファイ散1%,エビリファイ散1%
エマンダキシン細粒 10%,エマンダキシン細粒 10%
2023-11-22 エマンダキシン細粒 10%,エマンダキシン細粒 10%
2023-08-25 エマンダキシン細粒 10%,エマンダキシン細粒 10%
2024-02-08 エマンダキシン細粒 10%,エマンダキシン細粒 10%
2024-05-06 エマンダキシン細粒 10%,エマンダキシン細粒 10%
2023-09-11 エマンダキシン細粒 10%,エマンダキシン細粒 10%
エミレース細粒2%,エミレース細粒2%
2024-12-15 エミレース細粒2%,エミレース細粒2%
2023-05-29 エミレース細粒2%,エミレース細粒2%
2024-08-27 エミレース細粒2%,エミレース細粒2%
2023-04-18 エミレース細粒2%,エミレース細粒2%
2023-12-23 エミレース細粒2%,エミレース細粒2%
エモレックス錠 5mg,エモレックス錠 5mg
2024-09-15 エモレックス錠 5mg,エモレックス錠 5mg
2024-06-04 エモレックス錠 5mg,エモレックス錠 5mg
2023-11-22 エモレックス錠 5mg,エモレックス錠 5mg
2024-03-05 エモレックス錠 5mg,エモレックス錠 5mg
2024-02-22 エモレックス錠 5mg,エモレックス錠 5mg
エリスパン細粒 0.1%,エリスパン細粒 0.1%
2023-11-04 エリスパン細粒 0.1%,エリスパン細粒 0.1%
2023-04-02 エリスパン細粒 0.1%,エリスパン細粒 0.1%
2024-12-23 エリスパン細粒 0.1%,エリスパン細粒 0.1%
2024-07-04 エリスパン細粒 0.1%,エリスパン細粒 0.1%
2024-10-05 エリスパン細粒 0.1%,エリスパン細粒 0.1%
オーラップ細粒 1%,オーラップ細粒 1%
2024-05-24 オーラップ細粒 1%,オーラップ細粒 1%
2024-03-19 オーラップ細粒 1%,オーラップ細粒 1%
2023-02-11 オーラップ細粒 1%,オーラップ細粒 1%
2024-03-08 オーラップ細粒 1%,オーラップ細粒 1%
2023-07-26 オーラップ細粒 1%,オーラップ細粒 1%
カームダン錠0.4mg,カームダン錠0.4mg
2023-08-20 カームダン錠0.4mg,カームダン錠0.4mg
2023-09-30 カームダン錠0.4mg,カームダン錠0.4mg
2023-12-04 カームダン錠0.4mg,カームダン錠0.4mg
2024-02-19 カームダン錠0.4mg,カームダン錠0.4mg
2024-08-11 カームダン錠0.4mg,カームダン錠0.4mg
エチゾラム錠「オーハラ」,エチゾラム錠「オーハラ」
2024-04-24 エチゾラム錠「オーハラ」,エチゾラム錠「オーハラ」
2024-08-20 エチゾラム錠「オーハラ」,エチゾラム錠「オーハラ」
2023-07-05 エチゾラム錠「オーハラ」,エチゾラム錠「オーハラ」
2024-05-09 エチゾラム錠「オーハラ」,エチゾラム錠「オーハラ」
2023-05-23 エチゾラム錠「オーハラ」,エチゾラム錠「オーハラ」
カマリネス5 5mg,カマリネス5 5mg
2023-05-04 カマリネス5 5mg,カマリネス5 5mg
2023-12-18 カマリネス5 5mg,カマリネス5 5mg
2023-11-02 カマリネス5 5mg,カマリネス5 5mg
2024-01-16 カマリネス5 5mg,カマリネス5 5mg
2023-11-09 カマリネス5 5mg,カマリネス5 5mg
カムリトン0.25mg錠,カムリトン0.25mg錠
2024-02-28 カムリトン0.25mg錠,カムリトン0.25mg錠
2023-05-02 カムリトン0.25mg錠,カムリトン0.25mg錠
2023-02-02 カムリトン0.25mg錠,カムリトン0.25mg錠
2024-07-11 カムリトン0.25mg錠,カムリトン0.25mg錠
2023-01-25 カムリトン0.25mg錠,カムリトン0.25mg錠
グッドミン錠0.25mg,グッドミン錠0.25mg
2023-12-24 グッドミン錠0.25mg,グッドミン錠0.25mg
2024-05-13 グッドミン錠0.25mg,グッドミン錠0.25mg
2024-12-25 グッドミン錠0.25mg,グッドミン錠0.25mg
2023-07-31 グッドミン錠0.25mg,グッドミン錠0.25mg
2023-06-30 グッドミン錠0.25mg,グッドミン錠0.25mg
グペリース錠 0.5mg,グペリース錠 0.5mg
2024-06-05 グペリース錠 0.5mg,グペリース錠 0.5mg
2024-09-17 グペリース錠 0.5mg,グペリース錠 0.5mg
2023-03-21 グペリース錠 0.5mg,グペリース錠 0.5mg
2024-01-23 グペリース錠 0.5mg,グペリース錠 0.5mg
2024-10-21 グペリース錠 0.5mg,グペリース錠 0.5mg
トフィソパム錠50mg「JG」,トフィソパム錠50mg「JG」
2023-09-05 トフィソパム錠50mg「JG」,トフィソパム錠50mg「JG」
2024-08-14 トフィソパム錠50mg「JG」,トフィソパム錠50mg「JG」
2024-09-07 トフィソパム錠50mg「JG」,トフィソパム錠50mg「JG」
2024-01-29 トフィソパム錠50mg「JG」,トフィソパム錠50mg「JG」
2024-08-18 トフィソパム錠50mg「JG」,トフィソパム錠50mg「JG」
グランダキシン細粒 10%,グランダキシン細粒 10%
2023-09-03 グランダキシン細粒 10%,グランダキシン細粒 10%
2023-03-13 グランダキシン細粒 10%,グランダキシン細粒 10%
2023-03-15 グランダキシン細粒 10%,グランダキシン細粒 10%
2023-05-10 グランダキシン細粒 10%,グランダキシン細粒 10%
2023-06-04 グランダキシン細粒 10%,グランダキシン細粒 10%
グランパム錠 50mg,グランパム錠 50mg
2023-03-10 グランパム錠 50mg,グランパム錠 50mg
2023-03-15 グランパム錠 50mg,グランパム錠 50mg
2024-11-27 グランパム錠 50mg,グランパム錠 50mg
2024-05-05 グランパム錠 50mg,グランパム錠 50mg
2023-05-04 グランパム錠 50mg,グランパム錠 50mg
クリテミン錠10mg,クリテミン錠10mg
2024-09-24 クリテミン錠10mg,クリテミン錠10mg
2023-09-17 クリテミン錠10mg,クリテミン錠10mg
2024-09-16 クリテミン錠10mg,クリテミン錠10mg
2023-07-26 クリテミン錠10mg,クリテミン錠10mg
2024-05-13 クリテミン錠10mg,クリテミン錠10mg
クレミン錠10mg,クレミン錠10mg
2023-02-05 クレミン錠10mg,クレミン錠10mg
2024-07-23 クレミン錠10mg,クレミン錠10mg
2023-10-25 クレミン錠10mg,クレミン錠10mg
2024-07-22 クレミン錠10mg,クレミン錠10mg
2023-05-20 クレミン錠10mg,クレミン錠10mg
クロフェクトン錠10mg,クロフェクトン錠10mg
2023-04-17 クロフェクトン錠10mg,クロフェクトン錠10mg
2025-01-01 クロフェクトン錠10mg,クロフェクトン錠10mg
2023-10-02 クロフェクトン錠10mg,クロフェクトン錠10mg
2023-12-04 クロフェクトン錠10mg,クロフェクトン錠10mg
2023-06-04 クロフェクトン錠10mg,クロフェクトン錠10mg
クロルジアゼポキシド散1%/クロルジアゼポキシド錠,クロルジアゼポキシド散1%/クロルジアゼポキシド錠
2023-09-17 クロルジアゼポキシド散1%/クロルジアゼポキシド錠,クロルジアゼポキシド散1%/クロルジアゼポキシド錠
2024-01-11 クロルジアゼポキシド散1%/クロルジアゼポキシド錠,クロルジアゼポキシド散1%/クロルジアゼポキシド錠
2024-02-13 クロルジアゼポキシド散1%/クロルジアゼポキシド錠,クロルジアゼポキシド散1%/クロルジアゼポキシド錠
2023-08-16 クロルジアゼポキシド散1%/クロルジアゼポキシド錠,クロルジアゼポキシド散1%/クロルジアゼポキシド錠
2023-10-24 クロルジアゼポキシド散1%/クロルジアゼポキシド錠,クロルジアゼポキシド散1%/クロルジアゼポキシド錠
クロンモリン錠10mg,クロンモリン錠10mg
2023-10-10 クロンモリン錠10mg,クロンモリン錠10mg
2024-07-10 クロンモリン錠10mg,クロンモリン錠10mg
2024-03-03 クロンモリン錠10mg,クロンモリン錠10mg
2023-07-11 クロンモリン錠10mg,クロンモリン錠10mg
2024-08-13 クロンモリン錠10mg,クロンモリン錠10mg
ゲースベン錠 50mg,ゲースベン錠 50mg
2023-08-20 ゲースベン錠 50mg,ゲースベン錠 50mg
2024-05-24 ゲースベン錠 50mg,ゲースベン錠 50mg
2024-07-14 ゲースベン錠 50mg,ゲースベン錠 50mg
2023-11-14 ゲースベン錠 50mg,ゲースベン錠 50mg
2024-03-24 ゲースベン錠 50mg,ゲースベン錠 50mg
ハロペリドール細粒 1%「トーワ」,ハロペリドール細粒 1%「トーワ」
2023-08-03 ハロペリドール細粒 1%「トーワ」,ハロペリドール細粒 1%「トーワ」
2023-07-23 ハロペリドール細粒 1%「トーワ」,ハロペリドール細粒 1%「トーワ」
2024-10-18 ハロペリドール細粒 1%「トーワ」,ハロペリドール細粒 1%「トーワ」
2023-04-21 ハロペリドール細粒 1%「トーワ」,ハロペリドール細粒 1%「トーワ」
2023-03-12 ハロペリドール細粒 1%「トーワ」,ハロペリドール細粒 1%「トーワ」
コバンダキシン錠 50mg,コバンダキシン錠 50mg
2024-04-21 コバンダキシン錠 50mg,コバンダキシン錠 50mg
2024-09-11 コバンダキシン錠 50mg,コバンダキシン錠 50mg
2025-01-07 コバンダキシン錠 50mg,コバンダキシン錠 50mg
2023-05-05 コバンダキシン錠 50mg,コバンダキシン錠 50mg
2023-02-06 コバンダキシン錠 50mg,コバンダキシン錠 50mg
コレミナール細粒 1%,コレミナール細粒 1%
2024-01-15 コレミナール細粒 1%,コレミナール細粒 1%
2024-08-31 コレミナール細粒 1%,コレミナール細粒 1%
2023-02-04 コレミナール細粒 1%,コレミナール細粒 1%
2023-04-15 コレミナール細粒 1%,コレミナール細粒 1%
2024-07-13 コレミナール細粒 1%,コレミナール細粒 1%
コンスーン100倍散 1%,コンスーン100倍散 1%
2024-06-19 コンスーン100倍散 1%,コンスーン100倍散 1%
2023-10-04 コンスーン100倍散 1%,コンスーン100倍散 1%
2023-11-25 コンスーン100倍散 1%,コンスーン100倍散 1%
2024-01-30 コンスーン100倍散 1%,コンスーン100倍散 1%
2023-08-21 コンスーン100倍散 1%,コンスーン100倍散 1%
コンスタン0.4mg錠,コンスタン0.4mg錠
2024-06-01 コンスタン0.4mg錠,コンスタン0.4mg錠
2023-02-03 コンスタン0.4mg錠,コンスタン0.4mg錠
2024-03-06 コンスタン0.4mg錠,コンスタン0.4mg錠
2024-05-01 コンスタン0.4mg錠,コンスタン0.4mg錠
2024-11-16 コンスタン0.4mg錠,コンスタン0.4mg錠
コントール散1%,コントール散1%
2024-11-28 コントール散1%,コントール散1%
2024-01-10 コントール散1%,コントール散1%
2023-09-24 コントール散1%,コントール散1%
2024-11-10 コントール散1%,コントール散1%
2024-10-23 コントール散1%,コントール散1%
ジアパックス錠2mg,ジアパックス錠2mg
2024-11-20 ジアパックス錠2mg,ジアパックス錠2mg
2023-12-11 ジアパックス錠2mg,ジアパックス錠2mg
2023-11-02 ジアパックス錠2mg,ジアパックス錠2mg
2024-02-16 ジアパックス錠2mg,ジアパックス錠2mg
2023-12-23 ジアパックス錠2mg,ジアパックス錠2mg
ジェイゾロフト錠25mg,ジェイゾロフト錠25mg
2024-08-17 ジェイゾロフト錠25mg,ジェイゾロフト錠25mg
2024-05-01 ジェイゾロフト錠25mg,ジェイゾロフト錠25mg
2023-11-25 ジェイゾロフト錠25mg,ジェイゾロフト錠25mg
2024-01-10 ジェイゾロフト錠25mg,ジェイゾロフト錠25mg
